geonameid,name,asciiname,alternatenames,latitude,longitude,feature class,feature code,country code,cc2,admin1 code,admin2 code, admin3 code, admin4 code,population,elevation,dem,timezone,modification date 
2938376,Delitzsch,Delitzsch,"Delic,Delica,Delich,Delitium,Delitzsch,Delič,Dēliča,Stadt Delitzsch,de li ci xi,dellichi,deritchu,dlytssh,dlytzsh,Делич,Деліч,دليتسش,دلیتزش,デーリッチュ,德利茨希,델리치",51.52546,12.34284,P,PPL,DE,NA,13,00,14730,14730070,24998,NA,98,Europe/Berlin,2015-09-05
2938389,Delbrück,Delbrueck,"Del'brjuk,Delbrik,Delbruck,Delbrueck,Delbrück,Gorad Dehl'bruk,de er bu lu ke,dlbrwk,Горад Дэльбрук,Делбрик,Дельбрюк,دلبروك,دلبروک,德尔布吕克",51.76503,8.56223,P,PPL,DE,NA,07,057,5774,5774020,29884,NA,102,Europe/Berlin,2015-09-04
2938540,Deggendorf,Deggendorf,"Deckendorf,Degendorf,Degendorfas,Deggendorf,Degndorf,Gorad Dehgendorf,dai gen duo fu,degenadarpha,dghndwrf,dgndwrf,Горад Дэгендорф,Деггендорф,Дегендорф,Դեգենդորֆ,دغندورف,دگندورف,ڈیگنڈورف,ডেগেনডর্ফ,代根多夫",48.84085,12.96068,P,PPLA3,DE,NA,02,092,9271,9271119,31081,NA,320,Europe/Berlin,2014-01-09
2938784,Datteln,Datteln,"Dateln,Dattel'n,Datteln,da te er en,datln,Дателн,Даттельн,داتلن,达特尔恩",51.65598,7.3453,P,PPL,DE,NA,07,055,5562,5562008,36338,NA,54,Europe/Berlin,2017-04-26
2938913,Darmstadt,Darmstadt,"Darmshhat,Darmshtadi,Darmshtadt,Darmshtat,Darmstadium,Darmstadt,Darmstat,Darmstatas,Darmstate,Darmundestadt,Darmştat,Darmštatas,Darmštate,Gorad Darmshtat,Ntarmstat,ZCS,da mu shi ta te,daleumsyutateu,darmastata,darmshtat,darumushutatto,drmstdt,Ντάρμστατ,Горад Дармштат,Дармштадт,Дармштат,Дармщат,דרמשטדט,دارمشتات,ڈریمسٹڈ,डार्मश्टाट,დარმშტადტი,ダルムシュタット,达姆施塔特,다름슈타트",49.87167,8.65027,P,PPLA2,DE,NA,05,064,6411,6411000,140385,NA,148,Europe/Berlin,2015-09-05
2939167,Damme,Damme,"Dame,Damme,damh,damt,Даме,Дамме,دامة,دامه",52.52157,8.19793,P,PPL,DE,NA,06,00,3460,3460002,16024,NA,66,Europe/Berlin,2015-09-05
2939440,Dahlem,Dahlem,"Berlin-Dahlem,Dalem,Далем,דאהלם",52.4581,13.28702,P,PPLX,DE,NA,16,00,11000,11000000,15737,NA,54,Europe/Berlin,2012-06-09
2939623,Dachau,Dachau,"Dachanum,Dachau,Dakhau,Daxau,Dochau,KZ Dachau,Ntachaou,ZCR,da hao,dahau,dahhau,dakhaw,teccu,Νταχάου,Дахау,Դախաու,דאכוי,דכאו,داخاو,ڈاکسو,டேச்சு,ダッハウ,达豪,다하우",48.26,11.43402,P,PPLA3,DE,NA,02,091,9174,9174115,39740,NA,502,Europe/Berlin,2014-01-09
2939658,Cuxhaven,Cuxhaven,"Cux,Cuxhaven,Cuxhoben,Cuxhuuwen,FCN,Kuksgafen,Kukskhafen,Kukskhaven,ku ke si gang,kugseuhapen,kukkusuhafen,kwkshafn,kwkshawn,Куксгафен,Куксхавен,Куксхафен,Կուքսհաֆեն,كوكسهافن,کوکسهاون,ککسہیون,クックスハーフェン,库克斯港,쿡스하펜",53.87176,8.69087,P,PPLA3,DE,NA,06,00,3352,3352011,52677,NA,5,Europe/Berlin,2016-11-16
2939747,Crimmitschau,Crimmitschau,"Crimmitschau,Crimmitshau,Krimichau,Krimmicava,Krimmichau,Krimmičava,Stadt Crimmitschau,ke li mi ci xiao,krymytshaw,krymytshwa,Кримичау,Криммичау,كريميتشاو,کریمیتشوا,克里米茨肖",50.81644,12.39045,P,PPL,DE,NA,13,00,14524,14524030,22442,NA,236,Europe/Berlin,2015-09-05
2939797,Crailsheim,Crailsheim,"Crailsheimum,ICrailsheim,Krailsheimas,Krajl'sgajm,Krajl'skhajm,Krajlskhajm,QEI,Stadt Crailsheim,ke lai er si hai mu,kraylshaym,krylzhaym,kurairusuhaimu,Крайльсгайм,Крайльсхайм,Крајлсхајм,كرايلسهايم,کریلزهایم,クライルスハイム,克赖尔斯海姆",49.13444,10.07193,P,PPL,DE,NA,01,081,8127,8127014,32262,NA,409,Europe/Berlin,2013-02-16
2939811,Cottbus,Cottbus,"CBU,Chocebuz,Chociebuz,Chociebuż,Chosebuz,Chotebuz,Chotěbuz,Choćebuz,Chośebuz,Chóśebuz,Cotbusium,Cottbus,Kotbus,Kotbusa,Kotbusas,Kottbus,ke te bu si,khxthth bus,kosbuseu,kotobusu,ktbws,kwtbws,qwtbws,Котбус,קוטבוס,كوتبوس,کتبوس,کوٹبس,คอทท์บุส,კოტბუსი,コトブス,科特布斯,콧부스",51.75769,14.32888,P,PPLA3,DE,NA,11,00,12052,12052000,84754,NA,80,Europe/Berlin,2015-09-05
2939820,Coswig,Coswig,"Coswig,Kosvig,kswyg,Косвиг,کسویگ",51.13204,13.58312,P,PPL,DE,NA,13,00,14627,14627010,22304,NA,116,Europe/Berlin,2015-09-05
2939945,Coesfeld,Coesfeld,"Coesfeld,Cosfeldia,Kesfel'd,Koesfeld,Koosfeld,Kosfel'd,Kosfeld,ke ai si fei er de,ksfld,kwsfld,Кесфельд,Коесфелд,Косфелд,Косфельд,كوسفلد,کسفلد,科埃斯费尔德",51.94349,7.16809,P,PPLA3,DE,NA,07,055,5558,5558012,36631,NA,83,Europe/Berlin,2015-09-04
2939951,Coburg,Coburg,"Cobourg,Coburg,Coburgo,Coburgum,Cuburgh,Koburg,Koburq,Kreisfreie Stadt Coburg,ke bao,kho bur k,kobuleukeu,koburuku,kwbrg,kwbwrg,kwbwrgh,Кобург,Կոբուրգ,كوبورغ,کوبرگ,کوبورگ,โคบูร์ก,コーブルク,科堡,코부르크",50.25937,10.96384,P,PPLA3,DE,NA,02,094,9463,9463000,41901,NA,304,Europe/Berlin,2016-06-15
2939969,Cloppenburg,Cloppenburg,"Cloppenborg,Cloppenburg,Klopenburg,Kloppenboarch,Kloppenburg,Kloppenbuurich,ke luo peng bao,klwbnbwrgh,klwpnbwrg,Клопенбург,Клоппенбург,كلوبنبورغ,کلوپنبورگ,克洛彭堡",52.84754,8.045,P,PPLA3,DE,NA,06,00,3453,3453004,31177,NA,42,Europe/Berlin,2015-09-05
2939995,Clausthal-Zellerfeld,Clausthal-Zellerfeld,"Bergstadt-Clausthal-Zellerfeld,Clausthal-Zellerfeld,Klaustal'-Cellerfel'd,Klaustal-Celerfeld,Klaustal-Zellerfeld,ke lao si ta er,klawstal tsyllrfyld,klawstal-tslrfld,Клаустал-Целерфелд,Клаусталь-Целлерфельд,كلاوستال تسيللرفيلد,کلازتھال زیلرفیلڈ,کلاوستال-تسلرفلد,克劳斯塔尔",51.80949,10.33821,P,PPL,DE,NA,06,00,3153,3153018,15345,NA,556,Europe/Berlin,2015-11-29
2940132,Chemnitz,Chemnitz,"Chemnicas,Chemnicium,Chemnitz,Gorad Khemnic,Hemnica,Kamenica,Kamjenica,Karl-Marx-Stadt,Kemnic,Kemnits,Khemnic,Saska Kamenice,Saská Kamenice,chymntz,kai mu ni ci,kemnicheu,kemunittsu,khe mniths,kmnytz,kymnts,qmnyz,Κέμνιτς,Горад Хемніц,Кемниц,Хемниц,Хемніц,קמניץ,קעמניץ,كيمنتس,چیمنتز,کمنیتز,เคมนิทซ์,კემნიცი,ケムニッツ,开姆尼茨,켐니츠",50.8357,12.92922,P,PPLA3,DE,NA,13,00,14511,14511000,247220,NA,306,Europe/Berlin,2018-03-16
2940187,Charlottenburg,Charlottenburg Bezirk,"Berlin-Charlottenburg,Sharlottenburg,sharlٹnbrg-wlmrzڈwrf,xia luo teng bao,Шарлоттенбург,شارلٹنبرگ-ولمرزڈورف,夏洛滕堡",52.51667,13.28333,P,PPLX,DE,NA,16,00,11000,11000000,119857,NA,46,Europe/Berlin,2017-10-02
